DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY, WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE
01/Jul/2024,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,5,"  63,00 ",PT DINDA SETIA KIRANA,DSK,PTP,8991,4343,0,10260
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0962,9,"  62,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,17701
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0968,5,"  98,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10545,4343,2280,11050
01/Jul/2024,CITILINK,JAKARTA,TANJUNG PINANG,QG-0974,1,"  11,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10323,4343,2233,20201
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0426,11,"  200,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0916,11,"  81,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,20201
01/Jul/2024,CITILINK,JAKARTA,KENDARI,QG-0330,2,"  19,00 ",PT DINDA SETIA KIRANA,DSK,PTP,20424,4343,1665,24200
01/Jul/2024,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,6,"  36,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10656,4343,1199,20101
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,3,"  23,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,3,"  26,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,8991,4343,0,16501
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,1,"  15,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,KENDARI,QG-0330,1,"  23,00 ",PT DINDA SETIA KIRANA,DSK,PTP,20424,4343,1665,24200
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0684,1,"  11,00 ",,DSK,PTP,8103,4343,2200,9025
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,2,"  24,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,3,"  61,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-7344,4,"  31,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,20400
01/Jul/2024,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,3,"  40,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10656,4343,1199,12000
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0436,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,31200
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0426,3,"  31,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0414,2,"  26,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10878,4343,2450,13585
01/Jul/2024,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,15,"  173,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0944,4,"  74,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10545,4343,2280,11050
01/Jul/2024,CITILINK,JAKARTA,PEKANBARU,QG-0938,3,"  53,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9768,4343,1698,13110
01/Jul/2024,CITILINK,JAKARTA,PEKANBARU,QG-0938,4,"  50,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9768,4343,1698,13110
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0482,1,"  17,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13542,4343,1367,14200
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0414,13,"  142,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,21600
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0686,1,"  13,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,8103,4343,2200,15301
01/Jul/2024,CITILINK,JAKARTA,BENGKULU,QG-0990,1,"  13,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9213,4343,0,15701
01/Jul/2024,CITILINK,JAKARTA,SURABAYA,QG-9716,2,"  24,00 ",PT DINDA SETIA KIRANA,DSK,PTP,6105,4343,2500,5985
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0686,2,"  26,00 ",PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2200,9025
01/Jul/2024,GARUDA,JAKARTA,TANJUNG PINANG,GA-0288,5,"  63,00 ",PT DINDA SETIA KIRANA,DSK,PTP,16650,4343,2233,17900
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-7344,4,"  42,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13653,4343,1594,26901
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0962,4,"  50,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9768,4343,1621,11495
01/Jul/2024,CITILINK,JAKARTA,PALEMBANG,QG-0884,1,"  10,00 ",PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2253,8360
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0916,2,"  29,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,11300
01/Jul/2024,CITILINK,JAKARTA,AMBON,QG-0210,2,"  21,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,27639,4343,1850,37900
01/Jul/2024,CITILINK,JAKARTA,BALIK PAPAN,QG-0424,1,"  13,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,25500
01/Jul/2024,GARUDA,JAKARTA,JAYAPURA,GA-0656,4,"  73,00 ",PT DINDA SETIA KIRANA,DSK,PTP,54612,4343,0,64700
01/Jul/2024,CITILINK,JAKARTA,SURABAYA,QG-0252,2,"  38,00 ",PT DINDA SETIA KIRANA,DSK,PTP,6105,4343,2500,5985
01/Jul/2024,CITILINK,JAKARTA,BALIK PAPAN,QG-0438,5,"  81,00 ",PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200
01/Jul/2024,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,31200
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0480,2,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,20500
01/Jul/2024,CITILINK,JAKARTA,TARAKAN,QG-0438,2,"  24,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,21534,4343,1850,35301
01/Jul/2024,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,1,"  13,00 ",PT DINDA SETIA KIRANA,DSK,PTP,8991,4343,0,10260
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0952,2,"  19,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,18300
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0416,2,"  31,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,23100
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0480,1,"  13,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,26100
01/Jul/2024,CITILINK,JAKARTA,PALEMBANG,QG-0884,3,"  60,00 ",PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2253,8360
01/Jul/2024,CITILINK,JAKARTA,PEKANBARU,QG-0938,1,"  14,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1698,22600
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0958,9,"  112,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,17701
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0940,1,"  13,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,21700
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0410,2,"  19,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,21600
01/Jul/2024,GARUDA,JAKARTA,PEKANBARU,GA-0172,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,11322,4343,1698,21500
01/Jul/2024,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,4,"  80,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,23200
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0912,1,"  20,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,25300
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0344,2,"  43,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13653,4343,1594,28700
01/Jul/2024,CITILINK,JAKARTA,PEKANBARU,QG-0936,1,"  11,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1698,22600
01/Jul/2024,GARUDA,JAKARTA,MEDAN,GA-0184,2,"  37,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13320,4343,2809,17900
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0680,2,"  13,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,8103,4343,2200,17300
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0968,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,22100
01/Jul/2024,CITILINK,JAKARTA,TARAKAN,QG-0436,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,21534,4343,1850,39000
01/Jul/2024,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,1,"  18,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10656,4343,1199,22800
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0916,1,"  19,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,25300
01/Jul/2024,CITILINK,JAKARTA,JAMBI,QG-0966,1,"  12,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,0,16700
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0686,5,"  55,00 ",PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2200,9025
01/Jul/2024,CITILINK,JAKARTA,BATAM,QG-0944,19,"  218,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,18900
01/Jul/2024,CITILINK,JAKARTA,LOMBOK,QG-0640,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,11655,4343,4085,21000
01/Jul/2024,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,2,"  35,00 ",PT DINDA SETIA KIRANA,DSK,PTP,10656,4343,1199,12000
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0426,11,"  190,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400
01/Jul/2024,CITILINK,JAKARTA,SURABAYA,QG-9716,5,"  53,00 ",PT DINDA SETIA KIRANA,DSK,PTP,6105,4343,2500,5985
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0978,1,"  11,00 ",PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,11300
01/Jul/2024,GARUDA,JAKARTA,TIMIKA,GA-0664,2,"  10,00 ",PT DINDA SETIA KIRANA,DSK,PTP,74037,4343,0,86800
01/Jul/2024,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,29900
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0480,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,23400
01/Jul/2024,CITILINK,JAKARTA,MAKASSAR,QG-0340,10,"  114,00 ",PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400
01/Jul/2024,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,15,"  100,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10656,4343,1199,20101
01/Jul/2024,GARUDA,JAKARTA,BATAM,GA-0152,16,"  160,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,12432,4343,2280,23740
01/Jul/2024,GARUDA,JAKARTA,BATAM,GA-0150,1,"  18,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,12432,4343,2280,15800
01/Jul/2024,CITILINK,JAKARTA,SURABAYA,QG-0710,5,"  59,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,6105,4343,2500,8500
