DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY,WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE,TOTAL_COST,REVENUE,PROFIT,COST_RATIO
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0438,1,11.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,25500,20327,280500.0,260173.0,0.07246702317290553
2024-07-01,CITILINK,JAKARTA,BANJARMASIN,QG-0480,2,28.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,23400,17885,655200.0,637315.0,0.027297008547008547
2024-07-01,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,5,63.0,PT DINDA SETIA KIRANA,DSK,PTP,8991,4343,0,10260,13334,646380.0,633046.0,0.020628732324638757
2024-07-01,CITILINK,JAKARTA,PADANG,QG-0962,9,62.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,17701,14111,1097462.0,1083351.0,0.012857848381082898
2024-07-01,CITILINK,JAKARTA,BATAM,QG-0968,5,98.0,PT DINDA SETIA KIRANA,DSK,PTP,10545,4343,2280,11050,14888,1082900.0,1068012.0,0.013748268538184505
2024-07-01,CITILINK,JAKARTA,TANJUNG PINANG,QG-0974,1,11.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10323,4343,2233,20201,14666,222211.0,207545.0,0.06600033301681735
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-0426,11,200.0,PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400,17996,3080000.0,3062004.0,0.005842857142857143
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0916,11,81.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,20201,13667,1636281.0,1622614.0,0.008352477355662016
2024-07-01,CITILINK,JAKARTA,KENDARI,QG-0330,2,19.0,PT DINDA SETIA KIRANA,DSK,PTP,20424,4343,1665,24200,24767,459800.0,435033.0,0.053864723792953456
2024-07-01,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,6,36.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10656,4343,1199,20101,14999,723636.0,708637.0,0.020727271722247097
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,3,23.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200,20327,395600.0,375273.0,0.051382709807886756
2024-07-01,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,3,26.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,8991,4343,0,16501,13334,429026.0,415692.0,0.03107970146331458
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,1,15.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200,20327,258000.0,237673.0,0.07878682170542636
2024-07-01,CITILINK,JAKARTA,KENDARI,QG-0330,1,23.0,PT DINDA SETIA KIRANA,DSK,PTP,20424,4343,1665,24200,24767,556600.0,531833.0,0.04449694574200503
2024-07-01,CITILINK,JAKARTA,DENPASAR,QG-0684,1,11.0,PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2200,9025,12446,99275.0,86829.0,0.12536892470410477
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,2,24.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200,20327,412800.0,392473.0,0.04924176356589147
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,3,61.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200,20327,1049200.0,1028873.0,0.019373808616088447
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-7344,4,31.0,PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,20400,17996,632400.0,614404.0,0.028456672991777357
2024-07-01,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,3,40.0,PT DINDA SETIA KIRANA,DSK,PTP,10656,4343,1199,12000,14999,480000.0,465001.0,0.031247916666666667
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0436,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,31200,20327,312000.0,291673.0,0.06515064102564103
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-0426,3,31.0,PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400,17996,477400.0,459404.0,0.03769585253456221
2024-07-01,CITILINK,JAKARTA,PONTIANAK,QG-0414,2,26.0,PT DINDA SETIA KIRANA,DSK,PTP,10878,4343,2450,13585,15221,353210.0,337989.0,0.0430933439030605
2024-07-01,CITILINK,JAKARTA,BALIKPAPAN,QG-0424,15,173.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200,20327,2975600.0,2955273.0,0.006831227315499395
2024-07-01,CITILINK,JAKARTA,BATAM,QG-0944,4,74.0,PT DINDA SETIA KIRANA,DSK,PTP,10545,4343,2280,11050,14888,817700.0,802812.0,0.01820716644246056
2024-07-01,CITILINK,JAKARTA,PEKANBARU,QG-0938,3,53.0,PT DINDA SETIA KIRANA,DSK,PTP,9768,4343,1698,13110,14111,694830.0,680719.0,0.02030856468488695
2024-07-01,CITILINK,JAKARTA,PEKANBARU,QG-0938,4,50.0,PT DINDA SETIA KIRANA,DSK,PTP,9768,4343,1698,13110,14111,655500.0,641389.0,0.021527078565980167
2024-07-01,CITILINK,JAKARTA,BANJARMASIN,QG-0482,1,17.0,PT DINDA SETIA KIRANA,DSK,PTP,13542,4343,1367,14200,17885,241400.0,223515.0,0.07408864954432477
2024-07-01,CITILINK,JAKARTA,PONTIANAK,QG-0414,13,142.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,21600,15221,3067200.0,3051979.0,0.004962506520605112
